Pacijent,pravi@email.com,123,Stefan,Djordjevic,Karka 13,Sarajevo,Bosna i Hercegovina,3434343,23232323,142,12/1/2019 12:00AM,Srcçani i nerni problemi,Aksion i Bukson,Normalan vid,"Acaka i Pacaka, i svi ostali lekovi koji sadrce masline u sebi",179,102,A,1
Pacijent,123@email.com,123,Kakarot,Getic,Aksara 12,Podgorica,Crna Gora,12121213,12121331,Prazno,24/11/2018 12:00AM,Prazno,Prazno,Prazno,Prazno,Prazno,Prazno,Prazno,1
Klinika,Eir,Centar 12,"Prsti, mladezi, srce, bubreg, jetra, zubi",-1,,,,,,,,,,,,,,,
Klinika,Oko,Moranja 22,"Popravljanje zuba, Pregled i lecçenje stopala, Operacije vezane za ocçi, koza",-1,,,,,,,,,,,,,,,
Sala,1,Glavna sala,Eir,Operacije za unutrasnjost tela,,,,,,,,,,,,,,,
Sala,2,Sala 2,Eir,Operacije vezane za zube,,,,,,,,,,,,,,,
Sala,3,Sala 4,Oko,Pregled na kozi i palcima,,,,,,,,,,,,,,,
Sala,4,Sporedna sala,Oko,Pregled ocçiju i operacije nad ocçima,,,,,,,,,,,,,,,
Lekar,lekar1@email.com,123,Sava,Savi,113123423,1213213,2/1/2016 12:00AM,Eir,Zubar : operacije nad zubima,-1,,,,,,,,,
Lekar,lekar2@email.com,123,Tamara,Peri,352343223,23435423,2/5/2016 11:00AM,Eir,"Operacije kod tela : noga, prsti, palcevi, srce, jetra, bubreg",4,,,,,,,,,
Lekar,lekar3@email.com,123,Nikola,Svetic,3423423,34243,5/5/2015 10:00AM,Oko,Koza,-1,,,,,,,,,
Lekar,lekar4@email.com,123,Sansa,Markovic,234324,23424,1/9/2019 12:00AM,Oko,"Ocçi , stopala",-1,,,,,,,,,
Admin,admin1@email.com,123,Goran,Sanic,112323,234343,2/2/2012 2:00PM,Eir,,,,,,,,,,,
Admin,admin2@email.com,123,Sanja,Sigur,1322323,32323123,2/1/2018 12:00AM,Oko,,,,,,,,,,,
TipPregleda,Opsti Pregled,Opsti Pregled,1500,30,,,,,,,,,,,,,,,
TipPregleda,Sistematcki,Pregled celog tela,500,30,,,,,,,,,,,,,,,
Pregled,1,Eir,pravi@email.com,lekar1@email.com,Sala 2,Opsti Pregled,5/8/2020 12:00AM,12,Srcani problemi,Eufren,,,,,,,,,
Pregled,2,Oko,pravi@email.com,lekar3@email.com,Sporedna sala,Sistematski,2/9/2020 11:00AM,789,Bubrna bolest,Aksan,,,,,,,,,
Pregled,3,Eir,pravi@email.com,lekar2@email.com,Sala 2,Opsti Pregled,2/9/2020 10:00AM,Prazno,Prazno,Prazno,,,,,,,,,
Pregled,4,Eir,Prazno,lekar1@email.com,Glavna sala,Opsti Pregled,2/9/2020 12:00AM,Prazno,Prazno,Prazno,,,,,,,,,
